system:index,B11,B2,B3,B4,B8,SCL,.geo
0,1864,1218,1256,1234,1628,7,"{""type"":""Point"",""coordinates"":[73.96329108920746,18.74251130566805]}"
1,1431,1174,1250,1184,1440,7,"{""type"":""Point"",""coordinates"":[73.96338594060488,18.742511831070654]}"
2,1431,1192,1220,1172,1363,7,"{""type"":""Point"",""coordinates"":[73.96348079200546,18.742512356425202]}"
3,1384,1224,1256,1266,1474,7,"{""type"":""Point"",""coordinates"":[73.96357564340919,18.742512881731695]}"
4,1864,1226,1240,1234,1604,7,"{""type"":""Point"",""coordinates"":[73.96329164072179,18.742420941185156]}"
5,1431,1186,1220,1178,1444,7,"{""type"":""Point"",""coordinates"":[73.96338649206878,18.742421466585036]}"
6,1431,1220,1236,1184,1409,7,"{""type"":""Point"",""coordinates"":[73.9634813434189,18.74242199193687]}"
7,1384,1276,1244,1194,1450,7,"{""type"":""Point"",""coordinates"":[73.96357619477219,18.742422517240648]}"
8,1828,1252,1254,1208,1497,7,"{""type"":""Point"",""coordinates"":[73.96329219223297,18.742330576701367]}"
9,1412,1204,1214,1180,1390,7,"{""type"":""Point"",""coordinates"":[73.96338704352952,18.742331102098536]}"
10,1412,1232,1204,1176,1434,7,"{""type"":""Point"",""coordinates"":[73.96348189482921,18.74233162744765]}"
11,1350,1238,1238,1186,1476,7,"{""type"":""Point"",""coordinates"":[73.96357674613205,18.742332152748713]}"
12,1828,1182,1224,1184,1465,7,"{""type"":""Point"",""coordinates"":[73.963292743741,18.74224021221669]}"
13,1412,1184,1208,1168,1376,7,"{""type"":""Point"",""coordinates"":[73.96338759498711,18.742240737611144]}"
14,1412,1204,1190,1146,1407,7,"{""type"":""Point"",""coordinates"":[73.96348244623637,18.742241262957542]}"
15,1350,1250,1230,1186,1400,7,"{""type"":""Point"",""coordinates"":[73.96357729748878,18.742241788255892]}"
16,1626,869,974,995,1497,7,"{""type"":""Point"",""coordinates"":[73.92849851069936,18.739513970062806]}"
17,1626,883,940,893,1285,7,"{""type"":""Point"",""coordinates"":[73.92859335935795,18.739514513013503]}"
18,1731,863,920,894,1488,7,"{""type"":""Point"",""coordinates"":[73.92868820801979,18.73951505591616]}"
19,1731,858,957,869,2245,7,"{""type"":""Point"",""coordinates"":[73.92878305668489,18.739515598770772]}"
